criteria;NbTrees;NbEspeces;percent;Kreal;Ktrouve;|Ktrouve-Kreal|;|Ktrouve-Kreal|/max(Ktrouve,Kreal));T;RI;ARI;Score;Partition trouve;Partition Ref;Time;
EuCH;264;?;?;?;5;5;1.000;0;0.211;0.000;-41.111;part(1 <> 5 <> 5 <> 3 <> 1 <> 5 <> 3 <> 3 <> 1 <> 4 <> 5 <> 1 <> 3 <> 5 <> 3 <> 4 <> 1 <> 3 <> 5 <> 2 <> 4 <> 2 <> 4 <> 5 <> 4 <> 4 <> 4 <> 4 <> 3 <> 4 <> 5 <> 5 <> 5 <> 5 <> 5 <> 3 <> 3 <> 4 <> 3 <> 2 <> 3 <> 4 <> 1 <> 4 <> 4 <> 4 <> 4 <> 2 <> 2 <> 4 <> 4 <> 3 <> 5 <> 5 <> 1 <> 4 <> 3 <> 1 <> 4 <> 3 <> 3 <> 4 <> 3 <> 3 <> 3 <> 4 <> 1 <> 3 <> 5 <> 5 <> 3 <> 5 <> 5 <> 2 <> 3 <> 2 <> 2 <> 1 <> 1 <> 2 <> 1 <> 3 <> 5 <> 4 <> 3 <> 3 <> 5 <> 4 <> 2 <> 4 <> 3 <> 3 <> 4 <> 3 <> 2 <> 1 <> 2 <> 2 <> 1 <> 3 <> 4 <> 3 <> 4 <> 3 <> 5 <> 4 <> 1 <> 5 <> 3 <> 5 <> 3 <> 4 <> 2 <> 4 <> 1 <> 3 <> 1 <> 4 <> 2 <> 2 <> 4 <> 5 <> 3 <> 3 <> 3 <> 3 <> 2 <> 5 <> 4 <> 1 <> 3 <> 1 <> 4 <> 4 <> 4 <> 1 <> 5 <> 4 <> 4 <> 5 <> 5 <> 4 <> 4 <> 2 <> 1 <> 3 <> 1 <> 4 <> 4 <> 4 <> 3 <> 4 <> 2 <> 2 <> 3 <> 2 <> 2 <> 2 <> 2 <> 3 <> 1 <> 2 <> 5 <> 1 <> 4 <> 1 <> 4 <> 2 <> 5 <> 4 <> 5 <> 1 <> 5 <> 3 <> 2 <> 5 <> 1 <> 4 <> 4 <> 1 <> 5 <> 2 <> 3 <> 2 <> 4 <> 1 <> 1 <> 1 <> 4 <> 2 <> 5 <> 5 <> 2 <> 3 <> 5 <> 4 <> 5 <> 2 <> 5 <> 2 <> 4 <> 3 <> 2 <> 2 <> 3 <> 3 <> 3 <> 3 <> 3 <> 1 <> 3 <> 5 <> 3 <> 2 <> 4 <> 3 <> 1 <> 3 <> 3 <> 3 <> 2 <> 1 <> 1 <> 2 <> 3 <> 5 <> 2 <> 3 <> 3 <> 3 <> 1 <> 3 <> 3 <> 3 <> 1 <> 3 <> 4 <> 1 <> 3 <> 3 <> 2 <> 2 <> 3 <> 3 <> 3 <> 1 <> 3 <> 4 <> 2 <> 2 <> 5 <> 3 <> 4 <> 5 <> 3 <> 2 <> 3 <> 3 <> 1 <> 3 <> 5 <> 3 <> 3 <> 1 );108.000;
Euclidean -- CH;264;?;?;?;5;5;1.000;0;0.198;0.000;33.606;part(1 <> 2 <> 1 <> 2 <> 5 <> 4 <> 4 <> 4 <> 1 <> 4 <> 3 <> 1 <> 3 <> 3 <> 3 <> 3 <> 2 <> 5 <> 3 <> 3 <> 1 <> 2 <> 4 <> 2 <> 2 <> 3 <> 1 <> 1 <> 2 <> 1 <> 3 <> 2 <> 3 <> 3 <> 3 <> 5 <> 2 <> 4 <> 2 <> 5 <> 2 <> 5 <> 2 <> 1 <> 3 <> 5 <> 1 <> 2 <> 3 <> 1 <> 5 <> 1 <> 3 <> 3 <> 4 <> 3 <> 5 <> 2 <> 3 <> 4 <> 2 <> 1 <> 2 <> 1 <> 1 <> 1 <> 4 <> 3 <> 3 <> 3 <> 2 <> 4 <> 3 <> 3 <> 2 <> 2 <> 2 <> 2 <> 2 <> 5 <> 4 <> 2 <> 1 <> 1 <> 3 <> 1 <> 4 <> 4 <> 3 <> 2 <> 2 <> 2 <> 1 <> 2 <> 2 <> 5 <> 2 <> 4 <> 2 <> 1 <> 2 <> 2 <> 5 <> 5 <> 2 <> 5 <> 3 <> 5 <> 4 <> 4 <> 5 <> 5 <> 3 <> 5 <> 4 <> 2 <> 5 <> 4 <> 2 <> 3 <> 1 <> 3 <> 3 <> 1 <> 2 <> 4 <> 3 <> 4 <> 3 <> 4 <> 1 <> 4 <> 1 <> 1 <> 1 <> 3 <> 3 <> 1 <> 5 <> 4 <> 4 <> 1 <> 1 <> 1 <> 2 <> 1 <> 4 <> 4 <> 4 <> 4 <> 2 <> 3 <> 3 <> 3 <> 5 <> 5 <> 5 <> 5 <> 5 <> 2 <> 2 <> 3 <> 3 <> 1 <> 3 <> 2 <> 3 <> 4 <> 3 <> 1 <> 3 <> 1 <> 3 <> 3 <> 3 <> 3 <> 5 <> 1 <> 5 <> 3 <> 1 <> 1 <> 1 <> 4 <> 1 <> 3 <> 1 <> 1 <> 5 <> 1 <> 2 <> 2 <> 4 <> 4 <> 1 <> 3 <> 4 <> 4 <> 3 <> 1 <> 1 <> 5 <> 3 <> 3 <> 5 <> 1 <> 5 <> 4 <> 5 <> 5 <> 5 <> 4 <> 5 <> 5 <> 4 <> 2 <> 5 <> 5 <> 1 <> 5 <> 4 <> 5 <> 4 <> 2 <> 5 <> 3 <> 5 <> 5 <> 5 <> 5 <> 4 <> 2 <> 4 <> 5 <> 4 <> 5 <> 1 <> 5 <> 5 <> 1 <> 4 <> 5 <> 5 <> 5 <> 1 <> 4 <> 5 <> 4 <> 1 <> 5 <> 1 <> 3 <> 3 <> 3 <> 5 <> 4 <> 4 <> 5 <> 4 <> 2 <> 5 <> 1 <> 5 <> 4 );6.000;
EuCH;264;?;?;?;5;5;1.000;0;0.211;0.000;-41.111;part(1 <> 5 <> 5 <> 3 <> 1 <> 5 <> 3 <> 3 <> 1 <> 4 <> 5 <> 1 <> 3 <> 5 <> 3 <> 4 <> 1 <> 3 <> 5 <> 2 <> 4 <> 2 <> 4 <> 5 <> 4 <> 4 <> 4 <> 4 <> 3 <> 4 <> 5 <> 5 <> 5 <> 5 <> 5 <> 3 <> 3 <> 4 <> 3 <> 2 <> 3 <> 4 <> 1 <> 4 <> 4 <> 4 <> 4 <> 2 <> 2 <> 4 <> 4 <> 3 <> 5 <> 5 <> 1 <> 4 <> 3 <> 1 <> 4 <> 3 <> 3 <> 4 <> 3 <> 3 <> 3 <> 4 <> 1 <> 3 <> 5 <> 5 <> 3 <> 5 <> 5 <> 2 <> 3 <> 2 <> 2 <> 1 <> 1 <> 2 <> 1 <> 3 <> 5 <> 4 <> 3 <> 3 <> 5 <> 4 <> 2 <> 4 <> 3 <> 3 <> 4 <> 3 <> 2 <> 1 <> 2 <> 2 <> 1 <> 3 <> 4 <> 3 <> 4 <> 3 <> 5 <> 4 <> 1 <> 5 <> 3 <> 5 <> 3 <> 4 <> 2 <> 4 <> 1 <> 3 <> 1 <> 4 <> 2 <> 2 <> 4 <> 5 <> 3 <> 3 <> 3 <> 3 <> 2 <> 5 <> 4 <> 1 <> 3 <> 1 <> 4 <> 4 <> 4 <> 1 <> 5 <> 4 <> 4 <> 5 <> 5 <> 4 <> 4 <> 2 <> 1 <> 3 <> 1 <> 4 <> 4 <> 4 <> 3 <> 4 <> 2 <> 2 <> 3 <> 2 <> 2 <> 2 <> 2 <> 3 <> 1 <> 2 <> 5 <> 1 <> 4 <> 1 <> 4 <> 2 <> 5 <> 4 <> 5 <> 1 <> 5 <> 3 <> 2 <> 5 <> 1 <> 4 <> 4 <> 1 <> 5 <> 2 <> 3 <> 2 <> 4 <> 1 <> 1 <> 1 <> 4 <> 2 <> 5 <> 5 <> 2 <> 3 <> 5 <> 4 <> 5 <> 2 <> 5 <> 2 <> 4 <> 3 <> 2 <> 2 <> 3 <> 3 <> 3 <> 3 <> 3 <> 1 <> 3 <> 5 <> 3 <> 2 <> 4 <> 3 <> 1 <> 3 <> 3 <> 3 <> 2 <> 1 <> 1 <> 2 <> 3 <> 5 <> 2 <> 3 <> 3 <> 3 <> 1 <> 3 <> 3 <> 3 <> 1 <> 3 <> 4 <> 1 <> 3 <> 3 <> 2 <> 2 <> 3 <> 3 <> 3 <> 1 <> 3 <> 4 <> 2 <> 2 <> 5 <> 3 <> 4 <> 5 <> 3 <> 2 <> 3 <> 3 <> 1 <> 3 <> 5 <> 3 <> 3 <> 1 );108.000;
EuCH;264;?;?;?;3;3;1.000;0;0.338;0.000;-88.838;part(1 <> 2 <> 2 <> 3 <> 3 <> 3 <> 1 <> 3 <> 2 <> 3 <> 2 <> 2 <> 3 <> 2 <> 2 <> 2 <> 3 <> 3 <> 2 <> 2 <> 3 <> 3 <> 1 <> 3 <> 2 <> 2 <> 1 <> 1 <> 3 <> 2 <> 2 <> 2 <> 3 <> 1 <> 3 <> 3 <> 1 <> 3 <> 1 <> 3 <> 1 <> 2 <> 1 <> 2 <> 3 <> 3 <> 1 <> 3 <> 3 <> 1 <> 3 <> 1 <> 2 <> 2 <> 2 <> 1 <> 3 <> 3 <> 2 <> 3 <> 3 <> 3 <> 3 <> 1 <> 1 <> 1 <> 2 <> 3 <> 3 <> 2 <> 3 <> 2 <> 2 <> 3 <> 3 <> 2 <> 3 <> 1 <> 3 <> 3 <> 3 <> 1 <> 3 <> 3 <> 3 <> 1 <> 1 <> 2 <> 2 <> 2 <> 2 <> 3 <> 3 <> 2 <> 1 <> 3 <> 1 <> 2 <> 2 <> 3 <> 1 <> 3 <> 1 <> 1 <> 2 <> 1 <> 2 <> 3 <> 3 <> 3 <> 1 <> 3 <> 3 <> 2 <> 3 <> 2 <> 3 <> 2 <> 3 <> 1 <> 2 <> 1 <> 2 <> 3 <> 3 <> 3 <> 3 <> 2 <> 2 <> 3 <> 2 <> 3 <> 1 <> 2 <> 3 <> 3 <> 2 <> 3 <> 2 <> 3 <> 3 <> 3 <> 1 <> 1 <> 1 <> 3 <> 1 <> 3 <> 2 <> 2 <> 1 <> 2 <> 2 <> 1 <> 1 <> 1 <> 3 <> 3 <> 1 <> 2 <> 1 <> 2 <> 3 <> 1 <> 2 <> 2 <> 2 <> 1 <> 2 <> 1 <> 2 <> 2 <> 3 <> 1 <> 2 <> 2 <> 1 <> 2 <> 2 <> 3 <> 1 <> 3 <> 3 <> 2 <> 3 <> 2 <> 1 <> 1 <> 2 <> 2 <> 2 <> 1 <> 2 <> 3 <> 3 <> 2 <> 2 <> 3 <> 1 <> 2 <> 1 <> 3 <> 3 <> 1 <> 1 <> 1 <> 3 <> 1 <> 2 <> 1 <> 3 <> 3 <> 1 <> 2 <> 1 <> 3 <> 1 <> 2 <> 1 <> 3 <> 3 <> 3 <> 3 <> 3 <> 2 <> 1 <> 2 <> 1 <> 3 <> 3 <> 1 <> 3 <> 2 <> 3 <> 3 <> 2 <> 3 <> 1 <> 1 <> 3 <> 2 <> 1 <> 3 <> 3 <> 3 <> 2 <> 3 <> 1 <> 1 <> 1 <> 1 <> 3 <> 2 <> 2 <> 1 <> 3 <> 1 <> 1 <> 3 <> 3 <> 3 <> 1 <> 3 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );76.000;
EuCH;52;?;?;?;3;3;1.000;0;0.442;0.000;10.833;part(3 <> 1 <> 2 <> 2 <> 1 <> 3 <> 2 <> 3 <> 2 <> 2 <> 3 <> 2 <> 2 <> 2 <> 3 <> 3 <> 2 <> 3 <> 1 <> 3 <> 3 <> 1 <> 2 <> 3 <> 3 <> 3 <> 3 <> 3 <> 3 <> 3 <> 3 <> 1 <> 3 <> 3 <> 1 <> 3 <> 1 <> 3 <> 3 <> 1 <> 3 <> 3 <> 3 <> 3 <> 1 <> 3 <> 3 <> 3 <> 1 <> 3 <> 3 <> 3 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );2.000;
EuCH;47;?;?;?;3;3;1.000;0;0.443;0.000;10.083;part(3 <> 2 <> 1 <> 3 <> 3 <> 2 <> 1 <> 3 <> 3 <> 3 <> 3 <> 2 <> 3 <> 3 <> 2 <> 3 <> 3 <> 3 <> 2 <> 3 <> 3 <> 3 <> 1 <> 3 <> 3 <> 2 <> 3 <> 3 <> 3 <> 2 <> 1 <> 2 <> 2 <> 3 <> 3 <> 3 <> 3 <> 1 <> 2 <> 1 <> 1 <> 1 <> 3 <> 3 <> 3 <> 3 <> 3 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );2.000;
Euclidean -- CH;52;?;?;?;3;3;1.000;0;0.366;0.000;4.464;part(1 <> 1 <> 3 <> 3 <> 1 <> 2 <> 3 <> 1 <> 3 <> 3 <> 1 <> 3 <> 3 <> 3 <> 2 <> 1 <> 3 <> 2 <> 1 <> 1 <> 2 <> 1 <> 3 <> 2 <> 1 <> 1 <> 1 <> 2 <> 3 <> 1 <> 1 <> 1 <> 3 <> 2 <> 1 <> 1 <> 1 <> 3 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 3 <> 1 <> 2 <> 2 <> 3 <> 2 <> 2 <> 1 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );1.000;
EuCH;52;?;?;?;5;5;1.000;0;0.259;0.000;8.366;part(5 <> 5 <> 1 <> 1 <> 5 <> 1 <> 2 <> 5 <> 1 <> 1 <> 5 <> 1 <> 3 <> 1 <> 2 <> 5 <> 2 <> 4 <> 5 <> 5 <> 3 <> 4 <> 1 <> 2 <> 5 <> 5 <> 5 <> 1 <> 1 <> 3 <> 5 <> 5 <> 3 <> 3 <> 5 <> 5 <> 3 <> 3 <> 3 <> 3 <> 5 <> 5 <> 5 <> 5 <> 2 <> 5 <> 4 <> 3 <> 1 <> 1 <> 3 <> 5 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );4.000;
EuCH;18;?;?;?;5;5;1.000;0;0.209;0.000;3.491;part(5 <> 3 <> 5 <> 2 <> 5 <> 1 <> 5 <> 4 <> 1 <> 5 <> 5 <> 2 <> 2 <> 1 <> 5 <> 3 <> 1 <> 4 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );0.000;
EuCH;21;?;?;?;10;10;1.000;0;0.086;0.000;1.904;part(6 <> 1 <> 4 <> 10 <> 2 <> 8 <> 4 <> 2 <> 5 <> 7 <> 4 <> 2 <> 2 <> 9 <> 2 <> 9 <> 8 <> 6 <> 10 <> 3 <> 5 );part(1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 <> 1 );1.000;
